feature,importance
ret_lag1,0.08136636045883525
rsi_slope_lag1,0.06481264435726174
ret_lag3,0.053809834671315296
rsi_slope_lag2,0.04750962285913191
close_pos_in_candle_lag2,0.04436567371865568
ret_lag2,0.03140097817128868
close_pos_in_candle_lag1,0.02706312097695645
price_slope_3,0.019407152556176248
dist_bb_upper_lag3,0.016676816467567173
dist_bb_upper_lag2,0.01557115888012873
body_vs_bb_lag3,0.014330230762557817
body_vs_bb_lag2,0.014047652073967918
rsi_value_lag1,0.013461649280693157
body_size_lag2,0.01329941265365541
dist_bb_upper_lag1,0.01271914683035032
body_vs_bb_lag1,0.012064035392829648
bb_position_lag2,0.010540366153432314
volume_lag2,0.009249092500613022
wick_ratio_lag1,0.00912300065628633
candle_vs_bb_lag1,0.008929892859112781
rsi_value_lag2,0.008440287593321516
wick_ratio_lag3,0.008328622032777934
volume_lag3,0.008265809322231723
bb_width_pct_lag2,0.006948629654696599
volume_lag1,0.006853322726027468
ema_50_slope_lag2,0.006495739795722358
atr_norm_lag3,0.006115300251356764
bb_width_pct_lag1,0.006069788959441836
lower_wick_lag2,0.005948507241970638
ema_50_slope_lag3,0.005610627919742908
