Feature,Min,Max,Mean,Std,Type,Normalized?
bb_touch_strength,0.9668,1.0695,1.0055,0.0067,Raw value,✓
bb_position,-0.4828,1.5210,0.5055,0.3345,Raw value,✗
rsi_value,8.5206,87.8355,50.3066,12.6561,RSI (0-100),✗
rsi_divergence,0.0000,1.0000,0.0951,0.2933,Binary (0/1),✓
candle_rejection,-491.0000,0.0000,-2.7729,13.0316,Raw value,✗
candle_body_pct,-3.8135,2.4296,0.0063,0.2257,Raw value,✗
prev_candle_body_pct,-3.8135,2.4296,0.0063,0.2257,Raw value,✗
prev_volume_ratio,0.0300,4.2843,0.9936,0.4761,Raw value,✗
price_momentum,-4.2752,2.2101,0.0009,0.2182,Raw value,✗
time_since_last_touch,0.0000,106.0000,17.9962,18.8774,Count (max 106),✗
